AD,ED,borough_code,borough,ed_uid,neighborhood
77,026,BX,Bronx,BX-AD77-ED026,Morris Heights
77,027,BX,Bronx,BX-AD77-ED027,Morris Heights
77,028,BX,Bronx,BX-AD77-ED028,Morris Heights
77,029,BX,Bronx,BX-AD77-ED029,Concourse
77,030,BX,Bronx,BX-AD77-ED030,Mount Eden
77,031,BX,Bronx,BX-AD77-ED031,Mount Eden
77,032,BX,Bronx,BX-AD77-ED032,Mount Eden
77,033,BX,Bronx,BX-AD77-ED033,Mount Eden
77,034,BX,Bronx,BX-AD77-ED034,Claremont
77,035,BX,Bronx,BX-AD77-ED035,Claremont
77,036,BX,Bronx,BX-AD77-ED036,Concourse
77,037,BX,Bronx,BX-AD77-ED037,Concourse
77,038,BX,Bronx,BX-AD77-ED038,Concourse
77,039,BX,Bronx,BX-AD77-ED039,Concourse
77,040,BX,Bronx,BX-AD77-ED040,Concourse
77,041,BX,Bronx,BX-AD77-ED041,Concourse
77,042,BX,Bronx,BX-AD77-ED042,Concourse
77,043,BX,Bronx,BX-AD77-ED043,Concourse
77,044,BX,Bronx,BX-AD77-ED044,Concourse
77,045,BX,Bronx,BX-AD77-ED045,Mount Eden
77,046,BX,Bronx,BX-AD77-ED046,Concourse
77,047,BX,Bronx,BX-AD77-ED047,Concourse
77,048,BX,Bronx,BX-AD77-ED048,Concourse
77,049,BX,Bronx,BX-AD77-ED049,Concourse
77,050,BX,Bronx,BX-AD77-ED050,Concourse
77,051,BX,Bronx,BX-AD77-ED051,Concourse
77,052,BX,Bronx,BX-AD77-ED052,Concourse
77,053,BX,Bronx,BX-AD77-ED053,Concourse
77,054,BX,Bronx,BX-AD77-ED054,Bronx
77,055,BX,Bronx,BX-AD77-ED055,Bronx
77,056,BX,Bronx,BX-AD77-ED056,Bronx
77,057,BX,Bronx,BX-AD77-ED057,Bronx
77,058,BX,Bronx,BX-AD77-ED058,Bronx
77,059,BX,Bronx,BX-AD77-ED059,Bronx
78,001,BX,Bronx,BX-AD78-ED001,East Tremont
78,002,BX,Bronx,BX-AD78-ED002,East Tremont
78,003,BX,Bronx,BX-AD78-ED003,Belmont
78,004,BX,Bronx,BX-AD78-ED004,Belmont
78,005,BX,Bronx,BX-AD78-ED005,Belmont
78,006,BX,Bronx,BX-AD78-ED006,Belmont
78,007,BX,Bronx,BX-AD78-ED007,Belmont
78,008,BX,Bronx,BX-AD78-ED008,Belmont
78,009,BX,Bronx,BX-AD78-ED009,Belmont
78,010,BX,Bronx,BX-AD78-ED010,Belmont
78,011,BX,Bronx,BX-AD78-ED011,Fordham
78,012,BX,Bronx,BX-AD78-ED012,Bedford Park
78,013,BX,Bronx,BX-AD78-ED013,Bedford Park
78,014,BX,Bronx,BX-AD78-ED014,Bedford Park
78,015,BX,Bronx,BX-AD78-ED015,Belmont
78,016,BX,Bronx,BX-AD78-ED016,Belmont
78,017,BX,Bronx,BX-AD78-ED017,Fordham
78,018,BX,Bronx,BX-AD78-ED018,Fordham
78,019,BX,Bronx,BX-AD78-ED019,Fordham
78,020,BX,Bronx,BX-AD78-ED020,Bedford Park
78,021,BX,Bronx,BX-AD78-ED021,Fordham
78,022,BX,Bronx,BX-AD78-ED022,Bedford Park
78,023,BX,Bronx,BX-AD78-ED023,Bedford Park
78,024,BX,Bronx,BX-AD78-ED024,Bedford Park
78,025,BX,Bronx,BX-AD78-ED025,Bronx Park East
78,026,BX,Bronx,BX-AD78-ED026,Bedford Park
78,027,BX,Bronx,BX-AD78-ED027,Bedford Park
78,028,BX,Bronx,BX-AD78-ED028,Bedford Park
78,029,BX,Bronx,BX-AD78-ED029,Bedford Park
78,030,BX,Bronx,BX-AD78-ED030,Norwood
78,031,BX,Bronx,BX-AD78-ED031,Bedford Park
78,032,BX,Bronx,BX-AD78-ED032,Fordham
78,033,BX,Bronx,BX-AD78-ED033,Fordham
78,034,BX,Bronx,BX-AD78-ED034,Fordham
78,035,BX,Bronx,BX-AD78-ED035,Fordham
78,036,BX,Bronx,BX-AD78-ED036,Fordham
78,037,BX,Bronx,BX-AD78-ED037,Fordham
78,038,BX,Bronx,BX-AD78-ED038,Fordham
78,039,BX,Bronx,BX-AD78-ED039,Bedford Park
78,040,BX,Bronx,BX-AD78-ED040,Bedford Park
78,041,BX,Bronx,BX-AD78-ED041,Fordham
78,042,BX,Bronx,BX-AD78-ED042,Bedford Park
78,043,BX,Bronx,BX-AD78-ED043,Fordham
78,044,BX,Bronx,BX-AD78-ED044,Fordham
78,045,BX,Bronx,BX-AD78-ED045,Bedford Park
78,046,BX,Bronx,BX-AD78-ED046,Kingsbridge
78,047,BX,Bronx,BX-AD78-ED047,Kingsbridge
78,048,BX,Bronx,BX-AD78-ED048,Bronx
78,049,BX,Bronx,BX-AD78-ED049,Pelham Parkway
78,050,BX,Bronx,BX-AD78-ED050,Bronx
78,051,BX,Bronx,BX-AD78-ED051,Bronx
78,052,BX,Bronx,BX-AD78-ED052,Bronx
78,053,BX,Bronx,BX-AD78-ED053,Bronx
79,001,BX,Bronx,BX-AD79-ED001,East Tremont
79,002,BX,Bronx,BX-AD79-ED002,Morrisania
79,003,BX,Bronx,BX-AD79-ED003,East Tremont
79,004,BX,Bronx,BX-AD79-ED004,East Tremont
79,005,BX,Bronx,BX-AD79-ED005,East Tremont
