ED,AD,borough,neighborhood,ev25_total,ev_rate,ev_weight,ev_party_dem,ev_party_rep,ev_party_oth
44,60,BK,East New York,56,0.05,7.647734426959357e-05,0.875,0.03571428571428571,0.017857142857142856
10,60,BK,East New York,113,0.08,0.00015432035540114414,0.9380530973451328,0.035398230088495575,0.008849557522123894
36,50,BK,Williamsburg,106,0.11,0.00014476068736744496,0.8584905660377359,0.07547169811320754,0.0
4,72,MN,Inwood,403,0.25,0.0005503637453686823,0.8759305210918115,0.022332506203473945,0.009925558312655087
1,28,QN,Kew Gardens,43,0.07,5.87236750641522e-05,0.6976744186046512,0.09302325581395349,0.023255813953488372
57,55,BK,Crown Heights,166,0.1,0.00022670069908486664,0.8674698795180723,0.006024096385542169,0.006024096385542169
73,46,BK,Brighton Beach,72,0.1,9.832801406090602e-05,0.3055555555555556,0.5,0.013888888888888888
26,86,BX,Fordham,54,0.03,7.37460105456795e-05,0.8888888888888888,0.018518518518518517,0.018518518518518517
53,67,MN,Upper West Side,235,0.21,0.00032093171255990154,0.7531914893617021,0.06808510638297872,0.02127659574468085
36,80,BX,Williamsbridge,27,0.03,3.687300527283975e-05,0.9629629629629629,0.0,0.0
64,28,QN,Forest Hills,15,0.11,2.048500292935542e-05,0.6,0.26666666666666666,0.0
36,75,MN,Midtown,55,0.07,7.511167740763654e-05,0.6727272727272727,0.14545454545454545,0.0
56,62,SI,Greenridge,259,0.15,0.0003537077172468702,0.44015444015444016,0.3783783783783784,0.007722007722007722
4,40,QN,Flushing,44,0.03,6.0089341926109226e-05,0.5681818181818182,0.1590909090909091,0.0
50,32,QN,Rochdale,203,0.12,0.00027723037297727667,0.8669950738916257,0.024630541871921183,0.024630541871921183
46,27,QN,Whitestone,109,0.37,0.00014885768795331605,0.24770642201834864,0.5504587155963303,0.027522935779816515
32,62,SI,Bay Terrace,296,0.16,0.00040423739113928025,0.23648648648648649,0.5236486486486487,0.02027027027027027
38,31,QN,South Ozone Park,83,0.07,0.00011335034954243332,0.7710843373493976,0.04819277108433735,0.04819277108433735
25,60,BK,East New York,110,0.08,0.00015022335481527308,0.9181818181818182,0.03636363636363636,0.0
20,81,BX,Spuyten Duyvil,231,0.21,0.00031546904511207344,0.7965367965367965,0.08225108225108226,0.0
14,78,BX,Bedford Park,53,0.04,7.238034368372248e-05,0.8490566037735849,0.018867924528301886,0.018867924528301886
56,56,BK,Bedford Stuyvesant,276,0.14,0.0003769240539001397,0.9311594202898551,0.007246376811594203,0.007246376811594203
1,24,QN,Ozone Park,25,0.04,3.41416715489257e-05,0.72,0.12,0.0
29,62,SI,Great Kills,277,0.16,0.00037828972076209673,0.3212996389891697,0.4657039711191336,0.018050541516245487
57,50,BK,East Williamsburg,470,0.24,0.0006418634251198031,0.8936170212765957,0.010638297872340425,0.00425531914893617
19,78,BX,Fordham,65,0.05,8.876834602720682e-05,0.9076923076923077,0.06153846153846154,0.0
4,48,BK,Borough Park,231,0.13,0.00031546904511207344,0.6233766233766234,0.26406926406926406,0.008658008658008658
48,83,BX,Wakefield,140,0.09,0.0001911933606739839,0.8714285714285714,0.014285714285714285,0.014285714285714285
15,58,BK,East Flatbush,96,0.07,0.00013110401874787467,0.8854166666666666,0.020833333333333332,0.020833333333333332
59,26,QN,Auburndale,169,0.1,0.00023079769967073772,0.5976331360946746,0.21301775147928995,0.01775147928994083
2,50,BK,Greenpoint,250,0.12,0.00034141671548925697,0.848,0.036,0.004
50,68,MN,East Harlem,36,0.04,4.916400703045301e-05,0.7777777777777778,0.08333333333333333,0.0
39,30,QN,Elmhurst,115,0.07,0.00015705168912505822,0.591304347826087,0.11304347826086956,0.02608695652173913
21,38,QN,Woodhaven,209,0.15,0.00028542437414901884,0.6698564593301436,0.11483253588516747,0.023923444976076555
46,46,BK,Coney Island,64,0.05,8.740267916524978e-05,0.6875,0.140625,0.0
6,45,BK,Midwood,249,0.16,0.00034005104862729995,0.4979919678714859,0.26907630522088355,0.0321285140562249
64,58,BK,East Flatbush,22,0.04,3.0044670963054613e-05,0.9090909090909091,0.045454545454545456,0.0
20,55,BK,East New York,16,0.01,2.1850669791312446e-05,0.875,0.0,0.0
50,41,BK,Gerritsen Beach,56,0.05,7.647734426959357e-05,0.8035714285714286,0.05357142857142857,0.05357142857142857
37,61,SI,Mariner's Harbor,155,0.08,0.00021167836360333933,0.7161290322580646,0.14838709677419354,0.01935483870967742
24,85,BX,Soundview,37,0.06,5.052967389241003e-05,0.8108108108108109,0.05405405405405406,0.0
26,53,BK,Bushwick,160,0.1,0.00021850669791312447,0.8875,0.01875,0.0
65,52,BK,Park Slope,356,0.27,0.00048617740285670195,0.8932584269662921,0.008426966292134831,0.0028089887640449437
36,70,MN,Central Harlem,206,0.16,0.00028132737356314775,0.9660194174757282,0.009708737864077669,0.0048543689320388345
34,50,BK,Williamsburg,228,0.12,0.00031137204452620236,0.8201754385964912,0.06140350877192982,0.008771929824561403
15,50,BK,Greenpoint,330,0.25,0.0004506700644458192,0.8545454545454545,0.05454545454545454,0.006060606060606061
21,35,QN,Corona,25,0.04,3.41416715489257e-05,0.88,0.04,0.04
3,42,BK,Prospect Park South,274,0.17,0.00037419272017622565,0.8905109489051095,0.010948905109489052,0.0
61,68,MN,Upper East Side,36,0.05,4.916400703045301e-05,0.7777777777777778,0.1111111111111111,0.0
38,34,QN,Jackson Heights,108,0.17,0.000147492021091359,0.7222222222222222,0.05555555555555555,0.0
12,25,QN,Fresh Meadows,356,0.21,0.00048617740285670195,0.5196629213483146,0.25,0.025280898876404494
50,28,QN,Rego Park,137,0.09,0.00018709636008811282,0.7664233576642335,0.08759124087591241,0.0
48,32,QN,Rochdale,116,0.07,0.00015841735598701523,0.896551724137931,0.008620689655172414,0.0
54,82,BX,Baychester,192,0.12,0.00026220803749574934,0.8333333333333334,0.036458333333333336,0.036458333333333336
17,59,BK,Canarsie,216,0.13,0.000294984042182718,0.9398148148148148,0.0,0.009259259259259259
43,80,BX,Pelham Parkway,145,0.12,0.00019802169498376904,0.7103448275862069,0.14482758620689656,0.027586206896551724
64,57,BK,Prospect Lefferts Gardens,158,0.13,0.00021577536418921042,0.8987341772151899,0.012658227848101266,0.02531645569620253
31,59,BK,Flatlands,77,0.17,0.00010515634837069115,0.8181818181818182,0.06493506493506493,0.025974025974025976
15,64,SI,New Dorp,344,0.2,0.0004697894005132176,0.2936046511627907,0.48546511627906974,0.01744186046511628
52,30,QN,Woodside,86,0.11,0.0001174473501283044,0.7558139534883721,0.11627906976744186,0.0
29,87,BX,Castle Hill,87,0.06,0.00011881301699026143,0.896551724137931,0.022988505747126436,0.0
38,51,BK,Gowanus,82,0.08,0.0001119846826804763,0.9634146341463414,0.012195121951219513,0.0
11,52,BK,Dumbo,395,0.24,0.0005394384104730261,0.8632911392405064,0.020253164556962026,0.002531645569620253
4,45,BK,Midwood,323,0.2,0.00044111039641212,0.5201238390092879,0.2260061919504644,0.01238390092879257
46,64,SI,Fort Wadsworth,143,0.11,0.000195290361259855,0.4405594405594406,0.2937062937062937,0.03496503496503497
39,37,QN,Maspeth,167,0.14,0.00022806636594682367,0.3772455089820359,0.41317365269461076,0.023952095808383235
41,64,SI,Old Town,230,0.16,0.00031410337825011643,0.39565217391304347,0.39565217391304347,0.021739130434782608
24,86,BX,University Heights,17,0.01,2.3216336653269473e-05,0.8235294117647058,0.0,0.0
15,56,BK,Bedford Stuyvesant,48,0.04,6.555200937393733e-05,0.7708333333333334,0.020833333333333332,0.020833333333333332
21,78,BX,Fordham,54,0.04,7.37460105456795e-05,0.7777777777777778,0.05555555555555555,0.018518518518518517
19,85,BX,Soundview,107,0.06,0.000146126354229402,0.8504672897196262,0.07476635514018691,0.009345794392523364
27,53,BK,Bushwick,254,0.16,0.0003468793829370851,0.8779527559055118,0.011811023622047244,0.007874015748031496
46,29,QN,Jamaica Center,74,0.08,0.00010105934778482006,0.7567567567567568,0.04054054054054054,0.013513513513513514
42,73,MN,Upper East Side,342,0.26,0.00046705806678930354,0.5877192982456141,0.1695906432748538,0.008771929824561403
18,37,QN,Sunnyside,90,0.06,0.00012291001757613253,0.7555555555555555,0.1111111111111111,0.011111111111111112
15,83,BX,Williamsbridge,99,0.06,0.00013520101933374575,0.8484848484848485,0.04040404040404041,0.0
73,44,BK,Park Slope,101,0.28,0.00013793235305765983,0.900990099009901,0.0,0.0
14,54,BK,East New York,45,0.05,6.145500878806626e-05,0.8666666666666667,0.08888888888888889,0.0
48,57,BK,Prospect Heights,318,0.18,0.00043428206210233486,0.889937106918239,0.0031446540880503146,0.012578616352201259
86,64,BK,Bay Ridge,333,0.32,0.0004547670650316903,0.44144144144144143,0.39039039039039036,0.021021021021021023
29,56,BK,Bedford Stuyvesant,258,0.14,0.0003523420503849132,0.937984496124031,0.003875968992248062,0.0
43,42,BK,Flatbush,231,0.13,0.00031546904511207344,0.8961038961038961,0.0,0.012987012987012988
32,49,BK,Bensonhurst,140,0.11,0.0001911933606739839,0.40714285714285714,0.2785714285714286,0.0
39,66,MN,Greenwich Village,65,0.15,8.876834602720682e-05,0.6307692307692307,0.07692307692307693,0.0
58,75,MN,Hudson Yards,334,0.21,0.00045613273189364735,0.7754491017964071,0.06287425149700598,0.008982035928143712
72,57,BK,Clinton Hill,126,0.18,0.00017207402460658552,0.8809523809523809,0.007936507936507936,0.0
47,80,BX,Pelham Parkway,106,0.09,0.00014476068736744496,0.8018867924528302,0.10377358490566038,0.009433962264150943
58,56,BK,Crown Heights,263,0.14,0.00035917038469469837,0.935361216730038,0.0038022813688212928,0.0038022813688212928
34,86,BX,Fordham,22,0.02,3.0044670963054613e-05,0.7727272727272727,0.09090909090909091,0.0
